"rr","year","revenue","rrcode","revenue.ton.miles","price","price.capital","quantity.capital","price.cars","price.locomotives","quantity.cars","quantity.locomotives","quantity.fuel","price.fuel","price.labor","quantity.labor","average.length.of.haul","miles.of.road","percent.unit","percent.bulk"
"KCS",2013,1227676945.73817,134509,31079068000,0.0395017297731764,0.111316592719002,3487658754.65275,2260.60456790895,101786.777425163,11618,540,65943491,2.88028473539237,36.3415844407346,6466985,415.7790472,3245,0.406355077300653,0.149486209658261
"KCS",2014,1301261853.84884,134509,33826142000,0.0384691181704625,0.107159750643084,3674972856.59079,3620.00197728946,141332.781077815,12041,626,71987931,2.60008179868852,35.488796177719,6825109,440.8693533,3339,0.441890654595463,0.172073683851787
"MILW",1983,721622149.88996,431300,10624680000,0.0679194243864248,NA,NA,5069.08552016157,31320.5572253641,11921,333,39943686,1.54304700994631,26.6470679933901,9443000,324.0516052,3090,0.0756064809459973,0.228957886402654
"MILW",1984,813996110.335001,431300,12509708000,0.0650691535194107,NA,NA,4526.92461221956,29016.9014690293,11195,323,43786083,1.516719883463,30.3723776217288,9571000,359.1853638,3023,0.111509804706165,0.224136534182391
"MKT",1983,429731726.08345,435300,7668736000,0.0560368391979396,NA,NA,8259.28995065581,106108.747636993,4506,196,32053850,1.53837919118834,33.2769415785985,4959000,318.0728455,3099,0.106294802061088,0.435942542682372
"MKT",1984,510375278.824319,435300,8393440000,0.0608064487056938,NA,NA,7337.47529462954,113712.364777901,4778,233,35062911,1.46676308688262,32.6560775701933,5599000,314.9981384,3099,0.117287797851656,0.470428829012756
"MKT",1985,482529952.808423,435300,8918065000,0.0541070235312731,NA,NA,6817.11045342923,98922.3398784528,4561,243,35696843,1.32511429911992,31.3197041244371,5389000,336.3530579,3147,0.292252755733273,0.408965351133069
"MKT",1986,412391419.549237,435300,8099896000,0.0509131746320245,NA,NA,6284.18585795562,80170.7380344985,4136,262,33682277,0.852294162171996,36.3588210680365,4541000,296.9932251,3377,0.278669079588627,0.475760815145884
"MKT",1987,422237048.399345,435300,9713837000,0.0434675863306483,NA,NA,6162.82894868943,76107.0776424087,3521,237,35282408,0.865395639609127,33.3749214652464,4666000,340.3110046,3130,0.374578952279611,0.489298007790777
"MP",1983,3108837393.42075,735700,49330524000,0.0630205629565328,NA,NA,10147.2642480574,163482.434894443,45905,1589,196717291,1.56736625009356,35.0528689683386,32289000,409.7798157,11056,0.246545009819884,0.221940674778355
"MP",1984,3278274729.51424,735700,52844156000,0.0620366560403432,NA,NA,10329.1073035486,159069.514138235,42719,1499,218828589,1.44175830431254,34.003551836793,34951000,402.978302,10992,0.271188244410602,0.227339439886166
"MP",1985,3121749748.26239,735700,51370521000,0.0607692833845775,NA,NA,9324.47662105233,183967.909507022,40467,1390,208707121,1.34883579766914,36.6557773742931,32387000,401.6491089,10920,0.248508128893612,0.208270899350318
"NS",1985,5994518400.96953,117000,91754625000,0.0653320571139551,NA,NA,5364.0895188321,115676.344734833,144598,2425,147029873,2.83639456986121,33.2651310191903,68180000,325.3594666,17620,0.0702925825809871,0.183026895916507
"NS",1986,5784160090.51402,117000,91418116000,0.0632714864799228,NA,NA,4925.20790263228,119762.23410672,132918,2408,295412262,0.827947431793623,32.942208707275,64634000,360.4815369,17520,0.0656178260765556,0.185956965173067
"NS",1987,5712727542.69221,117000,94265911000,0.0606022631308598,NA,NA,4490.26104860166,117627.472677096,125822,2229,303115665,0.878538238474542,33.7098059343291,60985000,367.9516907,17254,0.0589323797337513,0.189518725706194
"NS",1988,5997610566.29496,117000,1.01e+11,0.0593822828346036,NA,NA,4248.35714465907,107234.594960566,118744,2179,321427530,0.768784381475022,34.5615944957434,57836000,369.4481201,17006,0.0737768620830779,0.192194373586552
"NS",1989,5770864237.37453,117000,1e+11,0.0577086423737453,NA,NA,4207.86470550583,107677.701299795,114438,2180,316205324,0.86404461044086,35.9271978590286,56188000,367.0457764,15955,0.0791016046655481,0.184050687080901
"NS",1990,5664870197.55585,117000,1.09e+11,0.0519712862161087,NA,NA,4365.97401832526,119087.627722151,111495,2140,311512646,1.04113056202766,35.353784164458,54371526,394.9238586,14842,0.0808838607618677,0.170648317996096
"NS",1991,5351671731.0032,117000,1.04e+11,0.051458382028877,NA,NA,4228.35549780298,127473.830079752,109648,2010,291751604,0.973221557089689,34.8151537497947,51264031,405.8277283,14721,0.115577381281129,0.168213459648407
"NS",1992,5370428465.47157,117000,1.07e+11,0.0501909202380521,NA,NA,4275.76473476796,128059.979209493,106986,2048,300773338,0.862452813659945,34.823660601881,49297871,410.8717957,14703,0.112654717512929,0.170919342550604
"NS",1993,5286397785.60045,117000,1.12e+11,0.0471999802285755,NA,NA,4504.05676528812,126145.083497909,104078,2047,348158000,0.713393250636419,35.1476589958816,48445352,425.6532288,14589,0.117145279130169,0.180868207972938
"NS",1994,5469459183.338,117000,1.22e+11,0.0448316326503115,NA,NA,4859.59607958753,128956.84205011,101940,2049,332509315,0.767716951851267,34.4564340994546,47403261,442.1395874,14652,0.129391785590172,0.184166657590783
"NS",1995,5511000727.66284,117000,1.27e+11,0.0433937065170303,NA,NA,4908.33432398922,139932.730317125,96587,2013,333147092,0.756693942503939,36.1963310130212,47263224,453.0698547,14407,0.12590299831414,0.184515068471626
"NS",1996,5528519372.22876,117000,1.3e+11,0.0425270720940674,NA,NA,5104.31978921888,138813.187568764,90996,2153,342482956,0.888903937569178,34.4832726747405,46955554,447.1044312,14282,0.124140975675271,0.174692903048292
"NS",1997,5600719399.63717,117000,1.36e+11,0.0411817602914498,NA,NA,5241.24249478297,147866.725448206,88693,2196,351391576,0.829127543327998,34.4305134930947,46780063,454.285553,14415,0.124800873139677,0.175091264112114
"NS",1998,5549195194.97812,117000,1.33e+11,0.0417232721426927,NA,NA,4799.0438009865,138590.685398566,91197,2261,362255849,0.609342993753388,33.4013368500461,50633928,436.9419556,14423,0.135210972463524,0.174280509258624
"NS",1999,8882392026.50479,117000,1.89e+11,0.0469967832090201,0.141101889260092,11674608111.3151,3931.33005331304,106279.669065108,116774,3399,523281432.1,0.692271806105134,37.1712547581,64657824,458.6842957,21788,0.195155973956939,0.154294608109861
"NS",2000,7720057052.13536,117000,1.97e+11,0.0391881068636313,0.138932079137599,11890502302.0651,3685.19128123656,92591.9738693856,114199,3469,517622286,1.1270355606372,30.5390778264011,68365816,472.5901489,21759,0.250877318959659,0.16629707719353
"NS",2001,7360923430.80248,117000,1.82e+11,0.0404446342351785,0.131021903256922,12086278700.4645,3476.87831027059,92542.4835765001,107540,3532,477644140,1.02886877811041,26.8059213715149,60281692,450.0783691,21569,0.254672396616104,0.159644349292186
"NS",2002,7349342397.51641,117000,1.79e+11,0.0410577787570749,0.126602402985507,12402023801.1242,3349.38499063083,93223.0412563363,105003,3487,472489649,0.850501783411146,29.2057094615832,54385193,446.4631653,21558,0.24616302042128,0.162984748452438
"NS",2003,7389489158.18238,117000,1.83e+11,0.04037972217586,0.123399400133416,12548430167.5333,3214.0138072692,106655.896604831,100633,3409,472234899,0.928136842992283,30.1105915055278,54564159,451.0861206,21520,0.240377391627694,0.167144597445844
"NS",2004,8037041267.3654,117000,1.98e+11,0.0405911175119464,0.115441882759351,21373223062.594,3402.28939731194,105886.28519431,99700,3701,5.03e+08,1.00168787753761,31.0058992020618,53600000,460,21300,0.239008792965627,0.163002789184802
"NS",2005,8965564208.91271,117000,2.03e+11,0.0441653409306045,0.121299368875909,21167783563.9969,3233.93535277337,106235.926759846,98966,3729,5.13e+08,1.54070296702728,30.5041673763543,57600000,456.3059,21184,0.239749281796814,0.156139070046319
"NS",2006,9647937080.74927,117000,2.04e+11,0.0472938092193592,0.118758163310639,21271872758.7225,3134.52702277535,109305.978382676,97773,3854,5.19e+08,1.98547259978717,30.6372457780956,57800000,451.1595,21141,0.257583682008368,0.154025643619582
"NS",2007,9337668583.43436,117000,1.96e+11,0.047641166242012,0.118191029759034,21257587276.7995,3175.25030117531,109483.527180489,95360,3886,497623614,2.14717670590451,28.4366220819204,58087754,447.36,20890,0.265222161272628,0.155246641414903
"NS",2008,10447959579.8489,117000,1.95e+11,0.0535792798966609,0.117137220651799,21760352644.8363,3334.46064884214,109694.440547334,94486,3914,482555200,3.1110626221494,29.5554579392559,57737779,447.84,20831,0.283389450056117,0.150177708413073
"NS",2009,7711530509,117000,1.59e+11,0.0485001918805031,0.106561068497725,22434526000,2734.09711360649,98669.9003067485,89766,3912,3.93e+08,1.6412213740458,28.6333813954861,52233754,450.95,20623,0.27563025210084,0.14820702643379
